Titulo,Estreno,Pais,Idiomas,Direccion,Nota,Productoras,Clasificacion,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Premios,Sinopsis,Genero1,Genero2,Duracion
Rigor Mortis,2013,Hong Kong,Chino,Juno Mak,4.8,Paramount Pictures,R,Chin Siu-Ho, Kara Hui, Richard Ng, Anthony Chan, Lo Hoi-Pang, Nina Paw,,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Acción, Fantástico,120
Yakuza: El imperio del sol naciente,2005,Estados Unidos,Ingles,,3.2,Relativity Media,A,Steven Seagal, Matthew Davis, Takao Osawa, Eddie George, William Atherton, Juliette Marquis,,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Acción, Thriller,60
Reverón,2011,Venezuela,Español,Diego Rísquez,6.7,Miramax,PG,Luigi Sciamanna, Sheila Monterola, Alfredo L. Fernández, Antonio Delli, Adrián Delgado, Francis Rueda,,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Romance,,
El maquinista,2004,España,Español,Brad Anderson,7.1,DreamWorks Pictures,R,Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, Michael Ironside, John Sharian,,,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Drama, Thriller,150
Guilty,2020,India,Hindi,Ruchi Narain,4.4,Village Roadshow Pictures,NR,Kiara Advani, Ashrut Jain, Manu Rishi Chadha, Chayan Chopra, Dalip Tahil, Niki Walia,,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Thriller,,90
Don 2,2011,India,Hindi,Farhan Akhtar,5.8,Sony Pictures Entertainment,A,Shahrukh Khan, Priyanka Chopra, Om Puri, Boman Irani, Lara Dutta, Florian Lukas,Mejor Actriz Principal,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Acción, Thriller,45
Más allá del amor,2014,Estados Unidos,Ingles,Shana Feste,4.8,Sony Pictures Entertainment,R,Gabriella Wilde, Alex Pettyfer, Bruce Greenwood, Joely Richardson, Robert Patrick, Rhys Wakefield,Mejor Edición,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Romance,,60
La balada de Buster Scruggs,2018,Estados Unidos,Ingles,"Joel Coen, Ethan Coen",6.5,A24,A,Tim Blake Nelson, Zoe Kazan, Tom Waits, James Franco, Liam Neeson, Harry Melling,,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Drama, Western,45
Nameless Gangster,2012,Corea del Sur,Coreano,Yun Jong-bin,6,20th Century Studios,NR,Choi Min-sik, Ha Jung-woo, Cho Jin-woong, Ma Dong-seok, Kwak Do-won, Kim Sung-kyun,,In congue. Etiam justo.,Thriller,,90
Hotel,2001,Reino Unido,Ingles,Mike Figgis,4.6,Miramax,MA,Salma Hayek, Saffron Burrows, David Schwimmer, Chiara Mastroianni, John Malkovich, Burt Reynolds,Mejor Película,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Thriller,,60
Heidi,2005,Reino Unido,Ingles,Paul Marcus,4.5,20th Century Studios,NR,Max von Sydow, Emma Bolger, Geraldine Chaplin, Robert Bathurst, Jessica Claridge, Oliver Ford Davies,,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Drama,,120
Juego de espías,2020,Estados Unidos,Ingles,Peter Segal,5.2,Working Title Films,MA,Dave Bautista, Chloe Coleman, Kristen Schaal, Ken Jeong, Parisa Fitz-Henley, Nicola Correia-Damude,Mejor Actriz Principal,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",Comedia,,90
Top Knot Detective,2016,Australia,Ingles,"Aaron McCann, Dominic Pearce",6.3,Lionsgate Films,A,Toshi Okuzaki, Masa Yamaguchi, Mayu Iwasaki, Kuni Hashimoto, Izumi Woods, Nobuaki Shimamoto,,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Acción,,45
Los pingüinos del Sr. Poper,2011,Estados Unidos,Ingles,Mark Waters,4.7,Miramax,PG-13,Jim Carrey, Carla Gugino, Madeline Carroll, Ophelia Lovibond, Angela Lansbury, Kelli Barrett,Mejor Película,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Comedia,,150
El Rayo,2013,España,Español,"Fran Araújo, Ernesto de Nova",6.4,Miramax,NR,Hassan Benoudra,,,,,,,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Aventuras,,120
iBoy,2017,Reino Unido,Ingles,Adam Randall,4.8,Lionsgate Films,NC-17,Bill Milner, Maisie Williams, Miranda Richardson, Rory Kinnear, Charley Palmer Rothwell, Adam Lazarus,,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Acción, Ciencia ficción,90
El arte de la venganza,2005,Estados Unidos,Ingles,Keoni Waxman,4.4,Warner Bros. Pictures,R,Ving Rhames, Roselyn Sanchez, Daniel Newman, Freddie Prinze Jr., Callum Keith Rennie, Angus MacFadyen,,Fusce consequat. Nulla nisl.,Thriller,,90
Nuestra vida en la Borgoña,2017,Francia,Frances,Cédric Klapisch,5.9,Miramax,NC-17,Pio Marmai, Ana Girardot, François Civil, Jean-Marc Roulot, María Valverde, Karidja Touré,,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Drama, Comedia,
Eat Locals,2017,Reino Unido,Ingles,Jason Flemyng,4.2,Lionsgate Films,MA,Freema Agyeman, Mackenzie Crook, Charlie Cox, Tony Curran, Vincent Regan, Eve Myles,,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Terror, Comedia,60
All About Anna,2005,Dinamarca,,Jessica Nilsson,3.4,Lionsgate,A,Gry Bay, Adrian Bouchet, Eileen Daly, Thomas Raft, Morten Schelbech, Thomas Lundy,Mejor Actriz Principal,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Comedia, Romance,60
The Skulls III,2003,Canadá,Ingles,J. Miles Dale,3.4,Miramax,A,Clare Kramer, Bryce Johnson, Barry Bostwick, Brooke D'Orsay, Steve Braun, Len Cariou,Mejor Edición,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Drama, Thriller,60
Fatal Frame,2014,Japón,Japones,Mari Asato,5,STX Entertainment,A,Ayami Nakajô, Karen Miyama, Noriko Nakagoshi, Fujiko Kojima, Jun Miho, Aoi Morikawa,Mejor Director,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Intriga, Terror,120
Pixel Theory,2013,España,Español,"Esaú Dharma, Mar Delgado, David Galán Galindo, Alberto Carpintero, Juanjo Ramírez, Pepe Macías, Pablo Vara",5.2,Gaumont Film Company,MA,Miguel Rellán, Andrea Duro, Daniel Pérez Prada, Lara de Miguel, Juan Trueba, Juanki- Juan Carlos Muñoz,,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Ciencia ficción,,45
La tristeza de la señora Snajdrové,2008,Albania,,"Eno Milkani, Piro Milkani",6.5,20th Century Studios,A,Anna Geislerová, Nik Xhelilaj, Barbora Stepánová, Tomás Töpfer,,,Mejor Película,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Romance,,
El extraño,2004,Francia,Frances,Philippe Lioret,6.7,Universal Pictures,R,Sandrine Bonnaire, Philippe Torreton, Grégori Derangère, Émilie Dequenne, Anne Consigny, Martine Sarcey,,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,Drama,,150
I Love You Baby,2001,España,Español,"Alfonso Albacete, David Menkes",3.9,Summit Entertainment,NR,Jorge Sanz, Tiaré Scanda, Santiago Magill, Verónica Forqué, Marilyn Torres, Alicia Agut,Mejor Película,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Comedia, Romance,90
Some Freaks,2016,Estados Unidos,Ingles,Ian MacAllister McDonald,5.9,Miramax,NR,Thomas Mann, Marin Ireland, Lachlan Buchanan, Lily Mae Harrington, Ely Henry, Jesse Dufault,,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,Romance,,
Muck,2015,Estados Unidos,Ingles,Steve Wolsh,2.2,Lionsgate Films,PG,Kane Hodder, Lachlan Buchanan, Gia Skova, Lauren Francesca, Laura Jacobs, Stephanie Danielson,Mejor Actriz Principal,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Terror,,90
Ya no somos dos,2004,Estados Unidos,Ingles,John Curran,5.8,Miramax,PG-13,Mark Ruffalo, Naomi Watts, Laura Dern, Peter Krause, Sam Charles, Haili Page,Mejor Guión,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Drama,,150
La vida útil,2010,Uruguay,Español,Federico Veiroj,6.2,Participant Media,PG,Jorge Jellinek, Manuel Martínez Carril, Paola Venditto,,,,,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Drama,,120
Extraño pero verdadero,2017,México,Español,Michel Lipkes,5.2,Miramax,PG-13,Kristyan Ferrer, María Evoli, Luis Enrique Parra, Itzel Sarmientos, Alfredo Blanco,,Mejor Película,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Romance,,
Bug,2006,Estados Unidos,Ingles,William Friedkin,5.8,Warner Bros. Pictures,R,Ashley Judd, Michael Shannon, Harry Connick Jr., Lynn Collins, Brian F. O'Byrne, Neil Bergeron,Mejor Actor de Reparto,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",Drama, Terror,90
Gintama,2017,Japón,Japones,Yûichi Fukuda,4.4,Pixar Animation Studios,A,Masami Nagasawa, Shun Oguri, Masaki Okada, Yûya Yagira, Masaki Suda, Kanna Hashimoto,Mejor Película,In quis justo. Maecenas rhoncus aliquam lacus.,Acción, Aventuras,150
Purgatorio,2014,España,Español,Pau Teixidor,4.2,Columbia Pictures,NR,Oona Chaplin, Sergi Méndez, Andrés Gertrudix, Ana Fernández,,,,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Drama, Intriga,
Torment,2013,Canadá,Ingles,Jordan Barker,3.9,Miramax,NR,Katharine Isabelle, Robin Dunne, Amy Forsyth, Peter DaCunha, Stephen McHattie, Noah Dalton Danby,Mejor Actriz Principal,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",Terror,,60
Violeta se fue a los cielos,2011,Chile,Español,Andrés Wood,6.9,Warner Bros. Pictures,PG,Francisca Gavilán, Cristián Quevedo, Patricio Ossa, Thomas Durand, Luis Machín, Vanesa González,Mejor Actriz Principal,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Drama,,90
Una vida mejor (A Better Life),2011,Estados Unidos,Ingles,Chris Weitz,6.7,Canal,A,Demian Bichir, José Julián, Dolores Heredia, Joaquín Cosío, Carlos Linares, Bobby Soto,Mejor Director,In congue. Etiam justo. Etiam pretium iaculis justo.,Drama,,90
"Dos días, una noche ",2014,Bélgica,,"Jean-Pierre Dardenne, Luc Dardenne",6.8,Lionsgate Films,PG,Marion Cotillard, Fabrizio Rongione, Pili Groyne, Simon Caudry, Catherine Salée, Batiste Sornin,,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,Drama,,
Kill Switch,2017,Bajos (Holanda),,Tim Smit,4.1,Summit Entertainment,A,Dan Stevens, Bérénice Marlohe, Tygo Gernandt, Chloe-May Cuthill, Don Alphonso, Gijs Scholten van Aschat,,Donec dapibus. Duis at velit eu est congue elementum.,Ciencia ficción,,150
Rescatando a Mr. Wu,2015,China,Chino,Sheng Ding,5.2,Walt Disney Pictures,MA,Andy Lau, Ye Liu, Wang Qianyuan, Wu Ruofu, Zhao Xiaorui, Meng Li,Mejor Actriz Principal,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",Thriller,,90
Ghost Rider. El motorista fantasma,2007,Estados Unidos,Ingles,Mark Steven Johnson,4,Universal Pictures,A,Nicolas Cage, Wes Bentley, Eva Mendes, Peter Fonda, Sam Elliott, Donal Logue,Mejor Director,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Acción, Fantástico,120
Los exterminadores del más allá contra la rubia del baño,2018,Brasil,Portugues,Fabrício Bittar,4.5,Miramax,G,Dani Calabresa, Léo Lins, Danilo Gentili, Murilo Couto, Francisco Carvalho, Bárbara Bruno,Mejor Fotografía,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",Terror,,90
Mi última palabra,2017,Estados Unidos,Ingles,Mark Pellington,5.4,Lionsgate,A,Shirley MacLaine, Amanda Seyfried, Anne Heche, Thomas Sadoski, Joel Murray, AnnJewel Lee Dixon,Mejor Película,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Comedia,,
La maldición del padre Cardona,2005,Rep. Dominicana,Español,Félix Germán,3.2,Lionsgate Films,A,Anthony Alvarez, Pedro Abreu, Lidia Ariza, Freddy Beras Goico, Sergio Carlo, Carlota Carretero,,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",Romance,,
Star Trek: Of Gods and Men,2007,Estados Unidos,Ingles,Tim Russ,5,20th Century Studios,NR,Walter Koenig, Nichelle Nichols, Alan Ruck, Garrett Wang, William Wellman Jr., J.G. Hertzler,,In eleifend quam a odio. In hac habitasse platea dictumst.,Acción, Aventuras,60
